name,pos,indct,from,to,1_allpro,probowl,years_started,carav,games_played
Steve Atwater,DB,2020,1989,1999,2,8,11,96,167
Isaac Bruce,WR,2020,1994,2009,0,4,13,102,223
Harold Carmichael,WR,2020,1971,1984,0,4,11,80,182
Jimbo Covert,T,2020,1983,1990,2,2,7,64,111
Bobby Dillon,DB,2020,1952,1959,4,4,8,0,94
Cliff Harris,DB,2020,1970,1979,3,6,9,95,141
Winston Hill,T,2020,1963,1977,0,8,12,95,198
Steve Hutchinson,G,2020,2001,2012,5,7,11,92,169
Edgerrin James,RB,2020,1999,2009,1,4,9,114,148
Alex Karras,DT,2020,1958,1970,3,4,12,95,161
Troy Polamalu,DB,2020,2003,2014,4,8,10,94,158
Donnie Shell,DB,2020,1974,1987,3,5,11,102,201
Duke Slater,T,2020,1922,1931,0,0,9,0,90
Mac Speedie,E,2020,1946,1952,3,2,7,0,86
Ed Sprinkle,DE,2020,1944,1955,0,4,7,0,132
Champ Bailey,DB,2019,1999,2013,3,12,14,114,215
Tony Gonzalez,TE,2019,1997,2013,6,14,16,97,270
Ty Law,DB,2019,1995,2009,2,5,12,94,203
Kevin Mawae,C,2019,1994,2009,3,8,15,109,241
Ed Reed,DB,2019,2002,2013,5,9,11,106,174
Johnny Robinson,DB,2019,1960,1971,6,7,12,107,164
Robert Brazile,LB,2018,1975,1984,2,7,10,80,147
Brian Dawkins,DB,2018,1996,2011,4,9,15,107,224
Jerry Kramer,G,2018,1958,1968,5,3,9,91,130
Ray Lewis,LB,2018,1996,2012,7,13,14,156,228
Randy Moss,WR,2018,1998,2012,4,6,12,123,218
Terrell Owens,WR,2018,1996,2010,5,6,13,119,219
Brian Urlacher,LB,2018,2000,2012,4,8,12,118,182
Morten Andersen,K,2017,1982,2007,3,7,0,51,382
Terrell Davis,RB,2017,1995,2001,3,3,5,72,78
Kenny Easley,DB,2017,1981,1987,3,5,7,72,89
Jason Taylor,DE,2017,1997,2011,3,6,12,118,233
LaDainian Tomlinson,RB,2017,2001,2011,3,5,10,128,170
Kurt Warner,QB,2017,1998,2009,2,4,8,96,124
Brett Favre,QB,2016,1991,2010,3,11,19,156,302
Kevin Greene,LB,2016,1985,1999,2,5,11,94,228
Marvin Harrison,WR,2016,1996,2008,3,8,12,124,190
Orlando Pace,T,2016,1997,2009,3,7,12,111,169
Ken Stabler,QB,2016,1970,1984,1,4,11,94,184
Dick Stanfel,G,2016,1952,1958,5,5,6,0,73
Jerome Bettis,RB,2015,1993,2005,2,6,12,80,192
Tim Brown,WR,2015,1988,2004,0,9,13,104,255
Charles Haley,DE,2015,1986,1999,2,5,8,84,169
Junior Seau,LB,2015,1990,2009,6,12,16,128,268
Will Shields,G,2015,1993,2006,2,12,14,114,224
Mick Tingelhoff,C,2015,1962,1978,5,6,17,123,240
Derrick Brooks,LB,2014,1995,2008,5,11,14,139,224
Ray Guy,P,2014,1973,1986,3,7,0,32,207
Claude Humphrey,DE,2014,1968,1981,2,6,10,84,171
Walter Jones,T,2014,1997,2008,4,9,12,109,180
Andre Reed,WR,2014,1985,2000,0,7,14,98,234
Michael Strahan,DE,2014,1993,2007,4,7,14,119,216
Aeneas Williams,DB,2014,1991,2004,3,8,13,120,211
Larry Allen,G,2013,1994,2007,6,11,13,101,203
Cris Carter,WR,2013,1987,2002,2,8,13,98,234
Curley Culp,DT,2013,1968,1981,1,6,11,79,179
Jonathan Ogden,T,2013,1996,2007,4,11,12,98,177
Dave Robinson,LB,2013,1963,1974,1,3,9,84,155
Warren Sapp,DT,2013,1995,2007,4,7,13,117,198
Jack Butler,DB,2012,1951,1959,3,4,9,0,104
Dermontti Dawson,C,2012,1988,2000,6,7,11,105,184
Chris Doleman,DE,2012,1985,1999,2,8,13,114,232
Cortez Kennedy,DT,2012,1990,2000,3,8,9,99,167
Curtis Martin,RB,2012,1995,2005,1,5,11,101,168
Willie Roaf,T,2012,1993,2005,4,11,12,117,189
Richard Dent,DE,2011,1983,1997,1,4,10,96,203
Marshall Faulk,RB,2011,1994,2005,3,7,11,133,176
Chris Hanburger,LB,2011,1965,1978,4,9,12,99,187
Les Richter,LB,2011,1954,1962,1,8,8,23,112
Deion Sanders,DB,2011,1989,2005,6,8,12,134,188
Shannon Sharpe,TE,2011,1990,2003,4,8,12,80,204
Russ Grimm,G,2010,1981,1991,3,4,9,78,140
Rickey Jackson,LB,2010,1981,1995,0,6,15,113,227
Dick LeBeau,DB,2010,1959,1972,0,3,14,93,185
Floyd Little,RB,2010,1967,1975,1,5,9,70,117
John Randle,DT,2010,1990,2003,6,7,12,106,219
Jerry Rice,WR,2010,1985,2004,10,13,18,159,303
Emmitt Smith,RB,2010,1990,2004,4,8,14,129,226
Bob Hayes,SE,2009,1965,1975,2,3,8,82,132
Randall McDaniel,G,2009,1988,2001,7,12,14,132,222
Bruce Smith,DE,2009,1985,2003,8,11,18,147,279
